id,question,answer,explanation,genre,yaer
1,営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかった場合は、その法律行為は無効である。,1,2024年第1問択1,民法,2024
2,公の秩序に反する法律行為であっても、当事者が納得して合意した場合には、その法律行為は有効である。,0,2024年第1問択2,民法,2024
3,詐欺による意思表示は取り消すことによって初めから無効であったとみなされるのに対し、強迫による意思表示は取り消すまでもなく無効である。,0,2024年第1問択3,民法,2024
4,他人が所有している土地を目的物にした売買契約は無効であるが、当該他人がその売買契約を追認した場合にはその売買契約は有効となる。,0,2024年第1問択4,民法,2024
5,売主が、売買契約の付随義務として、買主に対して、マンション専有部分内の防火戸の操作方法につき説明義務を負う場合、業務において密接な関係にある売主から委託を受け、売主と一体となって当該マンションの販売に関する一切の事務を行っていた宅地建物取引業者も、買主に対して、防火戸の操作方法について説明する信義則上の義務を負うことがある。,1,2024年第2問択1,民法,2024
6,受任者は、委任者の許諾を得たとき、又はやむを得ない事由があるときでなければ、復受任者を選任することができない。,1,2024年第2問択2,民法,2024
7,委任契約で本人が死亡しても代理権が消滅しない旨を合意して代理人に代理権を与えた場合、本人が死亡しても代理権は消滅しない。,1,2024年第2問択3,民法,2024
8,委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に対しその報酬を支払うことを約さなければ、その効力を生じない。,0,2024年第2問択4,民法,2024
9,甲土地につき、Ａ、Ｂ、Ｃ、Ｄの4人がそれぞれ4分の1の共有持分を有していて、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合、甲土地に、その形状又は効用の著しい変更を伴う変更を加える場合には、共有者の過半数の同意が必要であり、本件ではＡ、Ｂ、Ｃ3人の同意が必要となる。なお、Ｄの共有持分は、相続財産には属していないものとする。,0,2024年第3問択1,民法,2024
10,甲土地につき、Ａ、Ｂ、Ｃ、Ｄの4人がそれぞれ4分の1の共有持分を有していて、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合、甲土地の所有権の登記名義人となっている者が所有者ではないＥである場合、持分に基づいてＥに対して登記の抹消を求めるためには、所在が判明しているＡ、Ｂ、Ｃのうち2人の同意が必要である。なお、Ｄの共有持分は、相続財産には属していないものとする。,0,2024年第3問択2,民法,2024
11,甲土地につき、Ａ、Ｂ、Ｃ、Ｄの4人がそれぞれ4分の1の共有持分を有していて、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合、Ａ、Ｂ、Ｃ3人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を3年とする賃貸借契約を締結することができる。なお、Ｄの共有持分は、相続財産には属していないものとする。,1,2024年第3問択3,民法,2024
12,甲土地につき、Ａ、Ｂ、Ｃ、Ｄの4人がそれぞれ4分の1の共有持分を有していて、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合、Ａが裁判所に請求して、裁判所がＤの持分をＡに取得させる旨の決定をした場合、Ｄは、その決定から3年以内に限り、Ａが取得したＤの共有持分の時価相当額をＡに対して支払うよう請求することができる。なお、Ｄの共有持分は、相続財産には属していないものとする。,0,2024年第3問択4,民法,2024
13,Ａを売主、Ｂを買主として甲土地の売買契約が締結された直後にＡが死亡し、ＣがＡを単独相続した場合、売買代金を受領したＣが甲土地の引渡しを拒絶する意思を明確に表示したとしても、Ｂは、Ｃに対して相当の期間を定めた催告をしなければ、本件契約を解除することができない。,0,2024年第4問択1,民法,2024
14,Ａを売主、Ｂを買主として甲土地の売買契約が締結された直後にＡが死亡し、ＣがＡを単独相続した場合、Ｂが期日までに売買代金を支払わない場合であっても、本件契約の解除権はＡの一身に専属した権利であるため、Ｃは本件契約を解除することはできない。,0,2024年第4問択2,民法,2024
15,Ａを売主、Ｂを買主として甲土地の売買契約が締結された直後にＡが死亡し、ＣがＡを単独相続した場合、Ｂは、売買代金が支払い済みだったとしても、甲土地の所有権登記を備えなければ、Ｃに対して甲土地の引渡しを請求することはできない。,0,2024年第4問択3,民法,2024
16,Ａを売主、Ｂを買主として甲土地の売買契約が締結された直後にＡが死亡し、ＣがＡを単独相続した場合、本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取消しを主張することができる。,1,2024年第4問択4,民法,2024
17,不法行為の加害者は、不法行為に基づく損害賠償債務について、履行の請求を受けた時から遅滞の責任を負う。,0,2024年第5問択1,民法,2024
18,善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任を負う。,1,2024年第5問択2,民法,2024
19,請負人の報酬債権に対して、注文者がこれと同時履行の関係にある目的物の瑕か疵し修補に代わる損害賠償債権を自働債権とする相殺の意思表示をした場合、注文者は、請負人に対する相殺後の報酬残債務について、当該残債務の履行の請求を受けた時から遅滞の責任を負う。,0,2024年第5問択3,民法,2024
20,債務の履行について不確定期限があるときは、債務者は、その期限の到来したことを知った後に履行の請求を受けた時から遅滞の責任を負う。,0,2024年第5問択4,民法,2024
21,Ａの所有する甲土地にＢを地上権者とする地上権が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当権が設定され、その旨の登記がされた場合、ＢがＡとの売買契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。,0,2024年第6問択1,民法,2024
22,Ａの所有する甲土地にＢを地上権者とする地上権が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当権が設定され、その旨の登記がされた場合、Ａが死亡してＢがＡを単独相続し、甲土地の所有権を取得したときは、本件地上権は消滅する。,0,2024年第6問択2,民法,2024
23,Ａの所有する甲土地にＢを地上権者とする地上権が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当権が設定され、その旨の登記がされた場合、ＢがＡとの代物弁済契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。,0,2024年第6問択3,民法,2024
24,Ａの所有する甲土地にＢを地上権者とする地上権が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当権が設定され、その旨の登記がされた場合、ＢがＡとの贈与契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。,0,2024年第6問択4,民法,2024
25,Ａを貸主、Ｂを借主として甲建物の賃貸借契約が締結され、Ｂが甲建物の引渡しを受けた場合、ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を請求することはできない。,1,2024年第7問択1,民法,2024
26,Ａを貸主、Ｂを借主として甲建物の賃貸借契約が締結され、Ｂが甲建物の引渡しを受けた場合、Ｂが、Ａの甲建物への立ち入りを建物入り口を閉ざして拒んだときは、Ａは甲建物の間接占有が侵奪されたものとして、Ｂに対して、占有回収の訴えにより甲建物の返還を請求することができる。,0,2024年第7問択2,民法,2024
27,Ａを貸主、Ｂを借主として甲建物の賃貸借契約が締結され、Ｂが甲建物の引渡しを受けた場合、Ｂが死亡して、ＤがＢを単独相続した場合、Ｄは相続開始を知るまでは、Ｂによる甲建物の占有を承継しない。,0,2024年第7問択3,民法,2024
28,Ａを貸主、Ｂを借主として甲建物の賃貸借契約が締結され、Ｂが甲建物の引渡しを受けた場合、ＡとＢのいずれもが死亡した場合、本件契約は当然に終了する。,0,2024年第7問択4,民法,2024
29,民法の規定によると、隔地者間の契約は、承諾の通知を発した時に成立する。,0,2024年第8問択1,民法,2024
30,民法の規定によると、無効な行為に基づく債務の履行として給付を受けた者は、相手方を原状に復させる義務を負う。,1,2024年第8問択2,民法,2024
31,民法の規定によると、代理人が自己又は第三者の利益を図る目的で代理権の範囲内の行為をした場合において、相手方がその目的を知り、又は知ることができたときは、その行為は、代理権を有しない者がした行為とみなす。,1,2024年第8問択3,民法,2024
32,民法の規定によると、未成年者が法律行為をするには、その法定代理人の同意を得なければならない。ただし、単に権利を得、又は義務を免れる法律行為については、この限りでない。,1,2024年第8問択4,民法,2024
33,民法の規定によると、第三者が債務者との間で、債務者の債務につき免責的債務引受契約をする場合、債権者の承諾は不要である。,0,2024年第9問択1,民法,2024
34,民法の規定によると、第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が第三者に承諾をした時点で、その効力が生ずる。,1,2024年第9問択2,民法,2024
35,民法の規定によると、第三者が債権者との間で、債務者の債務につき併存的債務引受契約をした場合、債務者が第三者に承諾をした時点で、その効力が生ずる。,0,2024年第9問択3,民法,2024
